Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Import,"Cods, fresh or chilled, nei",1,0,1,0,5,.,0,0,0,.,1,0,0,.
Aruba,Import,"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), whether in shell or not, frozen",0,.,0,.,0,.,0,.,1,0,27,.,530,.
Aruba,Import,"Crab meat nei, prepared or preserved",49,.,164,.,76,.,101,.,99,.,90,.,61,.
Aruba,Import,"Crabs nei, frozen",439,.,441,.,235,.,200,.,291,.,368,.,487,.
Aruba,Import,"Crabs, not frozen",32,.,32,.,280,.,245,.,171,.,57,.,19,.
Aruba,Import,"Crustaceans nei, frozen",103,.,112,.,137,.,119,.,119,.,93,.,92,.
Aruba,Import,"Crustaceans nei, prepared or preserved",86,.,128,.,174,.,184,.,309,.,515,.,704,.
Aruba,Import,"Cuttlefish and squid, other than live, fresh or chilled",320,.,369,.,351,.,273,.,350,.,357,.,356,.
Aruba,Import,"Cuttlefish and squid, prepared or preserved",0,.,0,.,0,.,0,.,8,.,3,0,13,.
Aruba,Import,"Cuttlefishes and squids, live, fresh or chilled, nei",79,.,63,.,58,.,28,.,54,.,22,.,33,.
Aruba,Import,"Eels, fresh or chilled",0,.,0,.,36,.,1,0,0,.,8,0,0,-
Aruba,Import,"Eels, frozen",1,0,2,0,0,.,0,.,0,.,102,.,0,-
Aruba,Import,"European plaice, frozen",0,.,0,.,0,.,0,.,2,0,3,0,1,0
Aruba,Import,"Fish body oils, nei",0,0,0,.,0,.,0,0,13,.,156,.,143,.
Aruba,Import,"Fish dried, whether or not salted, nei",45,.,14,.,61,.,19,0,18,.,17,.,77,.
Aruba,Import,"Fish fillets, dried, salted or in brine, nei",3,0,55,.,2,0,7,.,13,.,24,.,4,.
Aruba,Import,"Fish fillets, fresh or chilled, nei",295,.,766,.,731,.,664,.,93,.,154,.,153,.
Aruba,Import,"Fish fillets, frozen, nei",3388,.,3144,.,3078,.,2640,.,544,.,18,.,41,.
Aruba,Import,"Fish live, nei",10,.,12,.,4,0,6,.,104,.,193,.,183,.
Aruba,Import,"Fish liver oils, nei",0,.,19,.,27,.,19,.,28,.,0,-,1,0
Aruba,Import,"Fish meat, whether or not minced nei, fresh or chilled",0,.,0,.,0,.,0,.,5,0,0,0,0,0
Aruba,Import,"Fish meat, whether or not minced, frozen, nei",201,.,74,.,119,.,337,.,354,.,592,.,583,.
Aruba,Import,"Fish minced nei, prepared or preserved",722,.,488,.,590,.,932,.,808,.,874,.,891,.
Aruba,Import,"Fish nei, prepared or preserved, not minced",22,.,32,.,26,.,36,.,25,.,39,.,42,.
Aruba,Import,"Fish nei, salted or in brine",93,.,51,.,113,.,109,.,98,.,118,.,123,.
Aruba,Import,"Fish nei, smoked",62,.,59,.,729,.,394,.,94,.,103,.,77,.
Aruba,Import,"Fish waste, nei",0,.,0,0,0,0,0,-,1,0,0,-,0,-
Aruba,Import,"Fish, fresh or chilled, nei",570,.,792,.,690,.,793,.,119,.,3,0,0,0
Aruba,Import,"Fish, frozen, nei",1761,.,1201,.,1079,.,1067,.,341,.,322,.,5,0
Aruba,Import,"Fishmeal fit for human consumption, nei",47,.,45,.,31,.,19,.,5,.,16,.,10,.
Aruba,Import,"Fishmeals, nei",0,-,1,.,0,0,1,.,0,0,0,-,0,0
Aruba,Import,"Flatfish nei, fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,0,15,.
Aruba,Import,"Flatfish nei, frozen",2,0,0,0,1,0,0,-,27,.,4,.,3,0
Aruba,Import,"Flatfish, fresh or chilled, nei",14,.,0,-,2,0,38,.,16,.,1,0,0,-
Aruba,Import,"Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Aruba,Import,"Gadiformes fillets, frozen, nei",0,.,0,.,0,.,0,.,317,.,222,.,307,.
