Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Aruba,Import,"Gadiformes, fresh or chilled, nei",0,.,0,.,0,.,0,.,36,.,37,.,41,.
Aruba,Import,"Haddock fillets, frozen",0,.,0,.,0,.,0,.,19,.,0,-,0,-
Aruba,Import,"Halibuts nei, frozen",0,0,0,-,0,-,0,-,0,-,1,.,2,.
Aruba,Import,"Herring, salted or in brine",3,.,0,0,0,0,1,.,3,.,1,.,2,.
Aruba,Import,"Herrings nei, frozen",0,0,0,-,0,0,0,0,0,0,1,.,0,0
Aruba,Import,"Herrings nei, smoked",2,.,1,.,3,.,1,.,0,-,0,0,0,0
Aruba,Import,"Herrings prepared or preserved, not minced, nei",1,.,3,.,3,.,2,.,1,.,0,0,0,0
Aruba,Import,"Herrings, fresh or chilled, nei",1,.,1,.,1,.,0,0,0,0,1,.,1,.
Aruba,Import,"Livers, roes, milt, dried, salted or in brine, nei",0,-,0,0,1,.,0,0,0,-,0,0,0,0
Aruba,Import,"Livers, roes, milt, fresh or chilled, nei",0,0,0,0,0,.,1,.,0,0,0,0,0,0
Aruba,Import,"Mackerel prepared or preserved, not minced, nei",6,.,9,.,8,.,10,.,11,.,6,.,7,.
Aruba,Import,"Mackerels nei, frozen",0,.,0,0,3,.,1,.,0,0,4,.,1,.
Aruba,Import,Miscellaneous corals and shells,0,0,0,0,0,0,1,.,0,0,0,-,0,-
Aruba,Import,"Miscellaneous crustaceans, not frozen, nei",5,.,3,.,2,.,2,.,1,.,1,.,3,.
Aruba,Import,"Miscellaneous molluscs & aq. inver., other than live, fresh or chilled, nei",34,.,21,.,56,.,28,.,61,.,44,.,51,.
Aruba,Import,"Molluscs and other aq. invertebrates, prep. or pres., nei",48,.,83,.,67,.,84,.,10,.,0,-,0,-
Aruba,Import,"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",9,.,8,.,10,.,21,.,16,.,8,.,19,.
Aruba,Import,"Molluscs nei, prepared or preserved",0,.,0,.,0,.,0,.,2,.,1,.,5,.
Aruba,Import,"Mussel meat, prepared or preserved, nei",0,.,0,.,0,.,0,.,3,.,5,.,6,.
Aruba,Import,"Mussels nei, other than live, fresh or chilled",12,.,11,.,20,.,29,.,28,.,30,.,24,.
Aruba,Import,"Mussels, live, fresh or chilled, nei",11,.,11,.,8,.,6,.,7,.,16,.,23,.
Aruba,Import,"Nile perch and snakeheads (Channa spp.),  fresh or chilled",0,.,0,.,0,.,0,.,1,.,0,-,0,-
Aruba,Import,"Norway lobsters (Nephrops spp.), nei, frozen",0,.,0,.,0,.,0,.,14,.,31,.,31,.
Aruba,Import,"Norway lobsters (Nephrops spp.), nei, not frozen",0,.,0,.,0,.,0,.,1,.,0,-,0,-
Aruba,Import,"Octopus, live, fresh or chilled",0,0,0,-,0,0,1,.,1,.,0,0,0,0
Aruba,Import,"Octopus, other than live, fresh or chilled",12,.,9,.,10,.,11,.,3,.,2,.,1,.
Aruba,Import,"Octopus, prepared or preserved",0,.,0,.,0,.,0,.,0,0,1,.,0,0
Aruba,Import,Ornamental fish nei,3,.,2,.,2,.,2,.,0,0,0,-,0,-
Aruba,Import,Ornamental freshwater fish,0,.,0,.,0,.,0,.,1,.,1,.,3,.
