Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2775,Aquatic Plants,2012,2012,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2775,Aquatic Plants,2013,2013,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2005,2005,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2006,2006,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2007,2007,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2008,2008,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2009,2009,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2010,2010,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2011,2011,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2012,2012,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,674,Protein supply quantity (g/capita/day),2775,Aquatic Plants,2013,2013,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2005,2005,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2006,2006,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2007,2007,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2008,2008,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2009,2009,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2010,2010,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2011,2011,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2012,2012,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2775,Aquatic Plants,2013,2013,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2005,2005,tonnes,289037.78,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2006,2006,tonnes,309750.85,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2007,2007,tonnes,312657.68,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2008,2008,tonnes,325305.16,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2009,2009,tonnes,318236.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2010,2010,tonnes,332103.64,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2011,2011,tonnes,319545.34,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2012,2012,tonnes,316872.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2731,Bovine Meat,2013,2013,tonnes,318651.48,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2731,Bovine Meat,2005,2005,g/capita/day,18.22,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2731,Bovine Meat,2006,2006,g/capita/day,19.33,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2731,Bovine Meat,2007,2007,g/capita/day,19.34,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2731,Bovine Meat,2008,2008,g/capita/day,19.94,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2731,Bovine Meat,2009,2009,g/capita/day,19.33,Fc,Calculated data
