country,Total_GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Dominican Republic,Percentage of GDP,14.4821,14.5763,16.184,15.7476,16.135,16.6207,16.5614,16.5707,21.5714,21.2882,17.1164,17.7987,16.1987,15.8861,15.9555,13.4383,13.7917,14.5053,15.0668,15.7146,16.6621,17.0829,17.3701,17.2427,16.9749,16.8511,16.6396,16.3872,16.1807,16.0216,15.8996,15.7218,15.566,15.4182,15.2584
Dominican Republic,US$ in bn (Nominal prices),2.53855,2.82546,3.38998,3.56419,3.7446,4.26383,4.40765,4.66838,4.85239,4.93393,6.16335,6.79858,7.12183,7.6448,7.70031,7.23787,8.00326,8.80206,9.44418,10.3834,11.4654,12.3619,13.2032,13.9533,14.6728,15.5142,16.3871,17.3029,18.3101,19.4183,20.5904,21.718,22.9194,24.1801,25.4789
Dominican Republic,US$ in bn (Real prices),3.42644,3.69467,4.43053,4.61329,5.04421,5.48996,5.56933,5.895,7.65457,7.65318,6.72337,7.73744,7.63868,7.73479,7.84196,7.15303,7.57208,8.18285,8.91177,10.0047,11.3525,12.4088,13.1929,13.9533,14.4228,15.0262,15.5621,16.0651,16.621,17.2337,17.8966,18.505,19.145,19.8022,20.4588
Dominica,Local currency in bn (Nominal prices),0.210919,0.259058,0.314838,0.306579,0.330444,0.307351,0.284372,0.294722,0.283687,0.332336,0.329049,0.381556,0.410789,0.432093,0.44525,0.518938,0.581198,0.468908,0.498551,0.78007,0.732772,0.738172,0.686243,0.432181,0.539286,0.592684,0.641079,0.690219,0.736537,0.780426,0.824803,0.876231,0.92359,0.969826,1.01524
Dominica,Local currency in bn (Real prices),0.324834,0.383085,0.460047,0.436495,0.458861,0.424049,0.385614,0.396926,0.394693,0.427071,0.426429,0.481485,0.509651,0.528267,0.505986,0.602822,0.666131,0.54852,0.561198,0.878996,0.787508,0.749285,0.694138,0.432181,0.528572,0.568829,0.603213,0.636716,0.666121,0.691974,0.716982,0.746752,0.77168,0.794422,0.815316
Dominica,Percentage growth,14.7093,17.9326,20.0901,-5.11947,5.12384,-7.58646,-9.064,2.93365,-0.562492,8.20333,-0.150452,12.911,5.84978,3.65272,-4.2177,19.138,10.5022,-17.6559,2.31131,56.6286,-10.4083,-4.85356,-7.36001,-37.7384,22.3033,7.61629,6.04462,5.55402,4.61829,3.88114,3.61396,4.15221,3.33812,2.94713,2.63009
Dominica,Percentage of GDP,30.0785,34.2688,40.1519,36.9291,38.5742,35.4223,32.1028,33.7318,31.1543,32.8441,32.901,35.5257,35.4893,34.1184,33.0522,38.9204,42.9315,35.7346,36.7841,55.1716,50.7193,47.0171,45.5904,33.4156,38.0343,38.3349,39.5911,40.8504,41.8171,42.5049,43.093,43.9161,44.4051,44.7133,44.8722
Dominica,US$ in bn (Nominal prices),0.08,0.1,0.116606,0.113548,0.122387,0.113834,0.105323,0.109156,0.105069,0.123087,0.12187,0.141317,0.152144,0.160034,0.164907,0.192199,0.215259,0.17367,0.184648,0.288915,0.271397,0.273397,0.254164,0.160067,0.199735,0.219513,0.237437,0.255637,0.272791,0.289047,0.305482,0.32453,0.342071,0.359195,0.376015
Dominica,US$ in bn (Real prices),0.120309,0.141883,0.170388,0.161665,0.169948,0.157055,0.14282,0.14701,0.146183,0.158175,0.157937,0.178328,0.18876,0.195654,0.187402,0.223267,0.246715,0.203155,0.207851,0.325554,0.291669,0.277513,0.257088,0.160067,0.195767,0.210678,0.223412,0.235821,0.246711,0.256287,0.265549,0.276575,0.285807,0.29423,0.301969
Grenada,Local currency in bn (Nominal prices),0.524194,0.586325,0.604822,0.602095,0.643208,0.652554,0.59307,0.666857,0.729657,0.651278,0.564857,0.709737,0.9496,0.949905,0.863478,0.855141,0.826806,0.799484,0.82561,1.35231,1.42749,1.49469,1.68509,1.84826,1.91276,2.04298,2.16653,2.30077,2.44937,2.61212,2.78815,2.97959,3.18307,3.3966,3.62285
